docidx, xval, yval, zval
1, 38, -48, 49
1, -25, -45, -2
2, 4, -10, 64
2, -6, 18, 4
2, -30, -16, 20
2, 22, 12, 8
2, -40, -48, -32
2, 38, -50, 36
2, 28, 14, 12
2, 14, 0, 4
2, -4, -4, 52
2, -6, 4, 32
2, -22, 14, 4
2, 18, 34, -4
2, 14, 6, 4
2, -28, -14, 64
2, 18, -4, 60
2, -26, -56, -32
2, 2, -62, -20
3, -5, -36, 52
3, -34, -16, -1
3, -50, -17, 20
3, -52, -28, 61
3, -3, -29, 57
3, -51, 4, 3
3, -2, -12, 67
3, -39, -13, 53
3, -37, -7, 64
3, -15, -30, 40
3, -6, -14, 54
3, -38, -25, 50
3, -37, -31, 50
3, -61, -32, 30
3, -47, -29, 30
3, -40, -1, -1
3, -35, -13, 56
3, -38, -28, 50
3, -37, -25, 50
3, -5, -21, 52
3, -55, 3, 12
3, -47, -33, 30
3, -35, -50, 65
3, -13, -30, 38
3, -28, -13, 47
3, -36, -39, 58
3, -6, -37, 59
3, -39, -12, 9
3, -52, 3, -4
3, -33, -9, 60
3, -3, -17, 66
3, -21, -2, 61
3, -62, -42, 37
3, -67, -20, 10
3, -7, 4, 52
3, -63, -26, 20
3, 0, 1, 47
3, -39, -13, 53
3, -59, -30, 25
3, -32, -4, 55
3, -57, -3, -2
3, -44, 3, 12
3, -6, -40, 52
3, -44, -38, 33
3, -6, -21, 49
3, -33, -3, 60
3, -61, 4, 13
3, -43, -12, -3
3, -47, 6, 3
3, 0, 1, 50
3, -5, -14, 50
3, -2, 9, 49
3, -57, -34, 20
3, -57, -16, -2
3, -5, -23, 52
3, -35, -14, 59
3, -11, -10, 50
3, -4, -31, 46
3, -5, 14, 52
3, -38, -12, 67
3, -61, -25, 30
3, -38, -52, 59
3, -27, -62, 52
3, -47, 1, -2
3, -39, -2, 0
3, -6, -21, 51
4, 32, 25, 24
5, -6, -50, -7
5, 58, -3, 4
5, 9, 17, -13
5, 14, 19, 15
5, -26, 19, 20
5, -29, -8, 4
5, 17, -11, 26
5, 17, 22, -2
5, 17, 11, -2
5, -3, -58, 9
5, -26, -56, 4
5, -14, -33, 20
5, 3, -31, -7
5, -43, -69, 9
5, -38, -61, 31
5, 17, -86, 15
6, 34, -20, 56
6, 6, -4, 52
6, 14, -68, 56
6, -2, -24, -12
6, 24, -16, 48
6, 8, -60, -24
6, -22, -8, 4
6, -18, -10, 4
6, -32, -40, 56
6, 36, -38, 44
6, -4, -8, 44
6, 58, 6, 16
6, 32, -60, 52
6, 16, -20, 64
7, -19, -83, -4
7, -4, 11, 53
7, -41, 30, 8
7, -38, -60, -15
7, -41, 30, 8
7, -38, 15, 30
7, -49, -56, -8
7, 38, 15, 23
7, 23, -86, 11
7, -4, 11, 53
7, -45, 4, 30
9, -28, -68, 38
9, 30, -66, 38
9, -2, -64, 36
9, -12, -62, 40
9, -26, -68, 34
9, -2, -62, 38
9, -4, -62, 40
9, -44, 24, 32
9, -38, 24, 38
9, -4, 12, 52
9, 6, 8, 48
9, -4, -62, 40
9, 28, -62, 38
9, 32, -66, 26
9, -2, -70, 42
9, -26, -78, 38
9, -30, -72, 40
9, 30, -66, 38
9, -26, -68, 34
9, 34, -64, 42
9, -32, -64, 42
9, -6, -70, 38
9, 38, 36, 40
9, -30, -72, 40
10, -3, -74, -18
10, -34, -68, -15
10, 3, -3, 25
10, -43, -37, 34
10, 9, -90, -12
10, -25, -71, 31
10, -28, -90, 9
10, 9, -71, -34
10, 0, -43, -15
11, -21, -87, -15
11, 27, -81, 19
11, -33, -85, -2
11, 23, -91, 8
11, -21, -76, -12
11, -23, -89, 8
11, -34, -51, 46
11, -4, 14, 47
11, 23, -91, 8
11, -27, -73, -12
11, 43, -65, -16
11, -37, -61, -17
11, -21, -87, -12
11, 41, -50, -18
11, -39, -77, -12
11, 23, -93, 0
11, -4, 3, 49
11, 16, -96, 3
11, -39, -76, -12
11, -23, -89, 8
11, -19, -93, 0
11, 35, -50, -18
11, -19, -93, -7
11, 29, -81, 19
12, 53, 4, 4
12, 48, -4, -10
12, -8, -4, 65
13, -39, 3, 54
13, 6, 30, 42
14, 21, 42, 37
14, 40, 48, 31
14, -34, 54, 28
14, 21, 42, 31
14, 40, 42, 31
14, 46, -39, 18
14, 21, 42, 37
14, 21, -3, 43
14, 18, 42, 31
14, -37, 42, 31
14, -43, 36, 31
14, 56, -33, -6
14, 34, 48, 28
15, -38, 10, 40
15, -48, 17, 22
15, 23, -4, 54
15, -26, 19, 11
15, -42, 10, 29
15, -28, 52, 4
15, 0, 4, 53
15, 35, 41, 25
15, 23, -8, 53
15, -29, 20, -1
15, 0, 4, 53
15, -35, 42, 22
15, 32, 28, 28
15, 37, 40, 29
15, 34, 30, 34
15, 27, 29, 36
