wdidx, widx
1, 370
1, 6008
1, 2488
1, 4570
1, 4570
1, 1168
1, 4852
1, 6586
1, 3331
2, 5506
2, 492
2, 2496
2, 548
2, 1930
2, 4958
2, 492
2, 3385
2, 3385
2, 812
2, 3813
3, 5870
3, 410
3, 3861
3, 3391
3, 3391
3, 3391
3, 5693
3, 4811
3, 2160
4, 4997
4, 6674
4, 4997
4, 4642
4, 1112
5, 2744
5, 6594
5, 6413
5, 2365
5, 574
5, 6357
5, 6596
5, 6357
5, 6357
6, 3750
6, 1238
6, 2404
6, 2404
6, 3877
6, 669
6, 1332
6, 5510
6, 4030
6, 5
7, 5457
7, 5457
7, 5477
7, 5470
7, 244
7, 6511
8, 2351
8, 4047
8, 3596
8, 2290
8, 1090
8, 5830
8, 2295
8, 2290
8, 1192
8, 1986
8, 2351
9, 1330
9, 5225
9, 3145
9, 5806
9, 4114
9, 6274
9, 6612
9, 764
9, 1494
10, 6247
10, 5142
10, 3181
10, 4098
10, 5142
10, 3287
10, 2764
11, 2794
11, 257
11, 3445
11, 1839
11, 2290
12, 1718
12, 1147
12, 463
12, 6594
12, 3181
12, 4873
12, 5559
13, 1414
13, 1986
13, 1414
13, 2290
13, 1147
14, 5715
14, 387
15, 5719
15, 4189
15, 4070
15, 3550
15, 4070
15, 1540
17, 3851
17, 4860
17, 4089
17, 3851
17, 1677
17, 3749
18, 5629
18, 413
18, 413
18, 413
19, 6594
19, 3133
20, 2580
20, 2040
20, 6594
20, 502
20, 496
20, 6241
20, 6681
20, 492
20, 367
20, 3489
20, 6078
20, 3852
20, 502
20, 502
20, 492
20, 497
20, 6243
20, 502
21, 164
21, 5909
21, 2536
21, 2201
21, 527
21, 2239
21, 2762
21, 6745
21, 2695
21, 5603
21, 1943
21, 5846
21, 3097
21, 3785
22, 3091
22, 5884
22, 547
22, 5509
22, 4740
22, 6514
22, 5040
22, 4673
22, 4932
22, 2134
23, 5693
23, 4819
23, 1986
23, 3749
23, 3145
23, 676
23, 141
23, 3639
23, 761
23, 66
23, 5846
23, 4745
23, 5422
23, 413
23, 5237
23, 4297
23, 5370
24, 13
24, 1347
24, 1697
24, 4132
24, 3400
24, 80
24, 3275
24, 3047
24, 3509
25, 6572
25, 1322
25, 3671
25, 1201
25, 6596
25, 4400
26, 794
26, 3671
26, 5049
26, 2699
26, 794
26, 794
26, 3764
26, 6347
26, 2179
27, 2179
27, 3861
27, 3876
27, 3816
27, 1540
27, 5548
27, 6209
27, 67
27, 3118
27, 3119
27, 740
27, 6594
27, 976
27, 1769
28, 3620
28, 3323
28, 1882
28, 2090
28, 527
28, 2778
28, 3583
29, 2436
29, 4928
29, 2587
30, 3564
30, 2163
30, 4382
30, 2246
30, 3351
30, 1424
31, 2404
31, 3934
32, 3677
32, 6536
32, 2692
32, 5389
32, 2692
32, 3184
33, 913
33, 3256
33, 6730
33, 1269
33, 1475
33, 1192
34, 6077
34, 6077
34, 6251
34, 3877
34, 6413
34, 3877
34, 4753
34, 3091
34, 3877
34, 1712
35, 2234
35, 3288
35, 3385
35, 2081
35, 2092
35, 2250
35, 2055
35, 3287
36, 1490
36, 6609
36, 1422
36, 1560
36, 1489
36, 5584
36, 300
36, 3469
36, 2581
36, 5388
36, 5468
37, 514
37, 2321
37, 3310
37, 2219
37, 6721
37, 3310
37, 5894
37, 4997
37, 5002
37, 3671
38, 3135
38, 1027
38, 1071
38, 3351
38, 401
38, 5200
38, 5492
38, 5926
38, 5938
38, 2305
38, 2968
38, 5890
38, 2975
38, 492
38, 1370
38, 1027
39, 828
39, 1560
39, 2881
39, 1838
39, 6215
39, 3931
39, 5451
39, 1975
40, 6272
40, 6273
40, 2622
40, 98
40, 5721
40, 6082
40, 6272
40, 6082
40, 6120
40, 292
40, 4276
40, 3118
41, 3204
41, 1540
41, 1541
41, 3671
41, 3604
41, 1540
42, 25
42, 1367
42, 2983
42, 1367
42, 124
42, 1367
42, 3799
42, 2309
42, 1367
42, 2856
42, 2978
43, 6137
43, 1924
43, 6594
43, 541
43, 2243
43, 1217
43, 5866
44, 5634
44, 3136
45, 6153
45, 5088
45, 3121
46, 72
46, 836
46, 424
46, 2876
46, 3781
46, 1712
46, 6594
47, 63
47, 794
47, 5524
48, 3488
48, 5926
48, 1366
48, 2183
48, 4886
48, 4886
49, 3277
49, 3861
49, 3903
50, 3357
50, 2246
50, 5498
50, 2420
50, 2418
50, 3813
51, 527
51, 3191
51, 1859
52, 5464
52, 40
52, 4098
52, 1123
52, 490
52, 37
53, 2033
53, 1560
53, 65
53, 3239
53, 1953
53, 5846
53, 3447
53, 2436
53, 1657
53, 152
53, 1547
54, 3368
54, 4503
54, 5884
54, 6701
54, 3402
54, 2102
54, 5040
54, 2370
54, 6594
54, 5882
54, 2286
54, 4515
55, 2284
55, 2290
55, 6575
55, 2290
55, 5605
55, 821
55, 1809
55, 5933
55, 6575
55, 2284
55, 2286
55, 2290
55, 860
56, 163
56, 3876
56, 5460
56, 3876
56, 3876
56, 3101
56, 4801
57, 1422
57, 2482
57, 3062
57, 2116
57, 5819
57, 1422
57, 5924
57, 1422
57, 5819
57, 3851
58, 1488
58, 5002
58, 422
58, 1337
58, 4403
58, 1653
58, 4883
58, 3671
59, 5304
59, 6595
59, 1796
59, 1252
59, 4563
59, 2408
59, 703
59, 5304
59, 5460
59, 3799
59, 1426
59, 1123
60, 47
60, 1272
60, 3276
60, 6331
60, 3400
60, 6329
60, 2918
60, 2951
60, 2320
60, 4075
61, 2805
61, 4617
61, 4697
61, 5099
61, 1455
61, 4292
62, 5264
62, 3717
62, 5528
62, 5506
62, 2484
62, 1340
62, 5506
63, 5956
63, 3815
63, 4114
63, 4114
63, 5956
63, 391
63, 1677
63, 3851
63, 1677
63, 3851
64, 1725
64, 3100
64, 5496
64, 5464
64, 5460
65, 6599
65, 5546
66, 893
66, 6237
66, 6569
66, 2006
66, 1148
66, 1414
66, 5703
66, 6237
66, 1414
67, 1932
67, 4503
67, 156
67, 6728
67, 4503
67, 1772
67, 5865
67, 2013
68, 4104
68, 225
68, 4297
68, 331
68, 2341
68, 5384
68, 4104
68, 4525
69, 3735
69, 5088
69, 817
70, 3851
70, 406
70, 5273
70, 3853
71, 4997
71, 2286
71, 1462
71, 2290
71, 5225
71, 2011
71, 4997
71, 5088
71, 2324
71, 3383
71, 2290
72, 2649
72, 4213
72, 4618
72, 4740
72, 3861
72, 5492
72, 2660
72, 1795
72, 2472
73, 1529
73, 4157
73, 6528
73, 465
73, 6603
73, 4764
73, 6082
73, 6594
73, 4616
74, 6683
74, 1673
74, 4501
74, 3372
74, 5926
74, 6707
74, 1447
74, 4240
74, 5903
74, 4574
75, 5502
75, 3205
75, 5427
75, 5427
75, 6024
76, 2737
76, 5822
76, 6721
76, 2979
76, 3087
76, 6594
76, 2418
76, 5844
76, 6675
76, 6413
76, 1220
76, 5737
77, 5337
77, 5097
77, 4572
77, 5337
77, 1672
77, 6193
77, 2073
77, 3240
77, 1672
77, 2094
78, 3775
78, 2876
78, 5715
78, 1542
78, 5219
78, 5592
78, 1330
78, 5219
79, 6721
79, 6721
79, 5225
79, 1405
79, 899
79, 5225
79, 3340
79, 2013
79, 5528
80, 5142
80, 5138
80, 6086
81, 3292
81, 6195
81, 3671
81, 3671
81, 3876
81, 3876
81, 3671
81, 6192
81, 975
81, 6192
81, 6609
81, 6195
82, 1470
82, 612
82, 4118
82, 2202
82, 408
83, 5928
83, 1426
83, 3876
83, 5703
83, 6061
84, 3287
84, 5068
84, 4231
84, 462
84, 5088
84, 4474
84, 6126
84, 3292
85, 2793
85, 1970
85, 4624
85, 5370
85, 5715
85, 4624
86, 3288
86, 6002
86, 2297
86, 5243
86, 6721
86, 37
86, 265
86, 6594
86, 2328
86, 4403
86, 1300
86, 5142
86, 3087
86, 265
86, 1426
87, 6641
87, 5460
87, 4649
87, 722
87, 4241
87, 2243
87, 3155
87, 4241
87, 3396
87, 1542
87, 6496
87, 492
87, 3205
87, 492
87, 638
87, 6078
87, 5556
88, 5752
88, 297
88, 5492
88, 6594
88, 3861
88, 4648
88, 3861
88, 4189
88, 3861
88, 3780
88, 2284
89, 2392
89, 4239
89, 1961
89, 1420
89, 1837
89, 4397
89, 4400
90, 5200
90, 6195
90, 6195
90, 3445
90, 130
90, 130
90, 5200
90, 130
90, 2090
91, 5723
91, 3256
91, 3351
91, 3750
91, 4966
91, 722
91, 4966
91, 1677
91, 1557
91, 722
92, 1986
92, 163
92, 5406
92, 4616
92, 163
92, 4416
92, 413
92, 3858
92, 5406
93, 5733
93, 5450
93, 4161
93, 5878
93, 4643
93, 4098
94, 3306
94, 1220
94, 6728
94, 6728
94, 5464
94, 2695
94, 4981
94, 2648
94, 3400
94, 6728
95, 1311
95, 5201
95, 5609
95, 4877
95, 1073
96, 2284
96, 2737
96, 2427
96, 491
96, 6135
96, 977
96, 6415
96, 3781
96, 670
96, 5716
97, 991
97, 5144
97, 6078
97, 4617
97, 6078
98, 4471
98, 1982
98, 1986
98, 527
98, 1982
98, 1982
98, 4471
98, 1896
99, 6266
99, 6266
99, 5301
99, 3851
99, 6267
99, 6594
100, 1302
100, 6594
100, 5715
100, 3934
100, 4200
100, 5715
101, 231
101, 4259
101, 5703
101, 5704
101, 2757
101, 5704
101, 5503
101, 2757
101, 231
101, 6514
101, 4455
101, 5703
101, 5704
101, 4851
101, 1797
101, 3323
102, 1967
102, 3967
102, 540
102, 6734
102, 614
102, 3861
102, 5921
102, 5921
102, 5388
103, 5890
103, 3069
103, 6721
103, 3170
103, 5890
103, 1754
104, 1227
104, 3288
104, 6730
104, 2186
104, 6022
104, 6050
105, 5458
105, 3642
105, 3851
105, 2161
105, 3801
105, 3801
105, 497
105, 1850
105, 1980
105, 1063
105, 164
106, 5475
106, 527
106, 6721
107, 5698
107, 1347
107, 952
107, 3400
107, 3445
107, 1016
107, 215
108, 507
108, 2488
108, 5588
108, 3861
108, 1507
109, 5866
109, 5989
109, 5309
109, 836
109, 647
109, 4740
109, 5191
109, 2189
109, 426
110, 3385
110, 6177
110, 2488
110, 1124
110, 6594
111, 6135
111, 5292
111, 156
111, 139
111, 2794
111, 3093
111, 5401
111, 6353
112, 4570
112, 4233
112, 6066
112, 4820
112, 3328
112, 5605
112, 6066
112, 132
112, 6133
112, 3743
113, 5457
113, 497
113, 2424
113, 2107
113, 1769
114, 6054
114, 1560
114, 6054
114, 5822
114, 6728
114, 1140
114, 4823
114, 6054
114, 18
114, 1140
115, 1715
115, 492
115, 4950
115, 492
115, 492
115, 497
115, 2436
115, 5271
115, 6617
115, 2737
116, 527
116, 2309
116, 3779
116, 5846
116, 527
116, 2446
117, 3644
117, 5846
117, 3261
117, 6594
117, 2290
117, 6594
117, 1203
117, 2264
117, 2290
117, 6153
118, 2013
118, 3889
118, 6478
118, 3889
118, 6536
119, 6724
119, 5633
119, 3192
119, 3351
119, 3351
119, 3403
119, 6724
119, 2578
119, 5707
120, 6210
120, 3596
120, 1560
120, 5818
120, 1718
120, 492
120, 885
121, 3121
121, 1471
121, 3551
121, 5346
121, 351
121, 159
121, 1354
121, 1982
122, 3851
122, 2641
122, 5546
122, 1437
122, 2766
122, 3851
122, 4400
122, 1586
122, 1824
122, 5546
122, 6594
122, 1824
123, 6075
123, 6594
123, 2920
123, 5929
123, 527
123, 4293
123, 2465
123, 6594
123, 6044
123, 4293
123, 3862
123, 3861
123, 6075
123, 2916
124, 4656
124, 6024
124, 6024
124, 5555
125, 2218
125, 1529
126, 3179
126, 250
126, 714
126, 2517
126, 4806
126, 6272
126, 6330
126, 2517
126, 2328
126, 4580
126, 2517
126, 4927
126, 5715
126, 5715
126, 250
126, 3579
126, 527
126, 4640
127, 4924
127, 4213
127, 5490
127, 6210
127, 3861
127, 5455
127, 6210
127, 1426
128, 5242
128, 5534
128, 5535
128, 5242
128, 3556
128, 3555
129, 6754
129, 3851
129, 5752
129, 527
129, 5457
129, 6415
129, 5604
129, 3781
130, 3256
130, 4367
130, 5921
130, 523
131, 4369
131, 5447
131, 4863
131, 5533
131, 1605
132, 4801
132, 3101
132, 2695
132, 1441
132, 6506
132, 5843
132, 190
133, 2295
133, 1986
133, 542
133, 2253
133, 5665
133, 441
133, 3988
133, 4030
133, 1656
133, 6366
134, 5614
134, 5946
134, 6536
134, 5614
134, 4115
134, 5614
134, 2482
134, 775
134, 2154
135, 2089
135, 6681
135, 6232
135, 4416
135, 2279
135, 3861
135, 2991
136, 3401
136, 3877
136, 3861
137, 2689
137, 2287
137, 384
137, 3400
137, 2290
137, 4185
137, 6078
137, 2420
137, 4098
137, 4997
137, 6570
138, 5680
138, 6736
138, 4780
138, 1390
138, 240
138, 836
138, 6737
139, 6594
139, 2
139, 5032
139, 6113
139, 3965
140, 1872
140, 5640
140, 4963
140, 5112
140, 4963
140, 6253
140, 6253
140, 2533
140, 3973
141, 1872
141, 5963
141, 465
141, 88
141, 2154
141, 1462
141, 612
141, 1908
141, 3576
141, 6625
141, 6478
141, 2533
141, 3934
141, 5941
141, 6746
141, 5107
141, 1292
141, 6514
141, 1522
141, 1231
142, 3362
142, 3444
142, 1824
142, 6615
142, 2695
142, 5709
142, 75
143, 5789
143, 3448
143, 3307
143, 3445
143, 3307
143, 2805
143, 3961
143, 4403
144, 3924
144, 844
144, 1124
144, 1712
145, 1414
145, 1414
145, 3866
145, 4301
145, 1720
145, 5693
145, 5492
145, 1148
145, 5492
145, 2641
146, 2361
146, 6015
146, 3809
146, 1330
146, 3275
147, 1426
147, 6349
147, 4932
147, 1718
147, 6035
147, 3583
147, 6536
147, 1426
147, 5068
147, 4238
148, 1666
148, 5200
148, 492
148, 5523
148, 5557
148, 497
148, 6389
148, 5523
149, 6605
149, 555
149, 4696
149, 5734
150, 250
150, 2577
150, 6728
150, 3310
150, 250
150, 250
150, 6728
150, 602
150, 2139
151, 1961
151, 6139
151, 3750
151, 6139
151, 3246
151, 3750
151, 3403
151, 3750
151, 6268
151, 3385
151, 4966
152, 5703
152, 4519
152, 5508
152, 4948
152, 4981
152, 1674
152, 5704
153, 2079
153, 2011
153, 2080
153, 6728
153, 5544
153, 5925
153, 2465
153, 6728
153, 2013
153, 3307
153, 6728
154, 5693
154, 5846
154, 5846
154, 1441
154, 5693
154, 5611
154, 3861
155, 1812
155, 5064
155, 3487
155, 3876
155, 6019
155, 3918
155, 6642
155, 1808
156, 4400
156, 828
156, 6594
156, 4400
157, 4106
157, 5628
157, 5014
157, 527
157, 527
158, 4580
158, 258
158, 2166
158, 477
159, 5142
159, 2243
159, 5137
159, 5137
159, 4403
159, 1289
160, 5806
160, 3366
160, 3366
160, 3861
160, 4605
160, 6381
161, 3816
161, 4098
161, 6594
161, 5370
161, 1560
161, 2290
161, 6515
162, 4240
162, 2429
162, 3711
163, 5199
163, 3861
164, 1072
164, 5088
164, 1082
164, 3080
164, 126
164, 427
165, 1586
165, 4086
165, 3536
165, 6594
165, 6585
166, 4400
166, 5490
166, 1246
166, 3784
166, 2918
166, 1122
166, 1136
166, 3861
166, 3580
167, 139
167, 5111
167, 3534
167, 6513
167, 2623
167, 2196
167, 1629
167, 6177
167, 6513
167, 6439
168, 920
168, 3404
168, 4334
168, 3445
168, 6638
168, 2968
168, 3404
168, 5805
169, 859
169, 2279
169, 5506
169, 5166
169, 3204
169, 5166
169, 3861
169, 5506
170, 267
170, 4966
170, 3576
170, 1836
170, 3407
170, 3406
170, 4023
170, 2116
171, 6616
171, 3577
171, 6730
171, 4451
171, 5510
171, 4234
171, 5848
171, 5848
171, 6616
171, 5848
172, 4840
172, 5263
172, 760
172, 5263
172, 3402
172, 2436
172, 6721
172, 4477
172, 5263
172, 5263
173, 527
173, 5584
173, 2689
173, 5747
173, 638
173, 5748
173, 523
173, 6594
173, 1327
173, 6609
173, 4400
173, 6594
173, 491
174, 6362
174, 2361
174, 1293
174, 339
174, 4261
174, 339
175, 2418
175, 6195
175, 3876
175, 3861
175, 1078
176, 159
176, 2290
176, 2290
176, 2420
176, 4354
176, 897
177, 4501
177, 4503
177, 4503
177, 2013
177, 6690
177, 3643
177, 2013
178, 4071
178, 1658
178, 1131
178, 773
178, 5711
179, 5921
179, 3147
179, 2179
179, 3881
180, 4018
180, 6730
180, 1853
181, 3129
181, 1202
181, 4400
181, 2264
181, 3961
181, 3995
181, 5548
182, 1346
182, 351
182, 1986
182, 1986
182, 920
182, 2134
182, 6728
182, 6721
182, 6594
182, 4997
182, 6728
182, 6594
183, 3894
183, 2242
183, 2201
183, 4643
183, 503
183, 636
183, 3310
183, 3060
183, 1559
183, 2304
183, 6513
184, 4138
184, 4519
184, 84
184, 4635
184, 5609
184, 1222
185, 3449
185, 2734
185, 775
185, 408
185, 4118
185, 1529
185, 5898
185, 6610
185, 4114
185, 2147
185, 3373
186, 2426
186, 5344
186, 2674
186, 4562
186, 5830
186, 5344
186, 3362
186, 5343
186, 6082
186, 1738
186, 5343
186, 2279
186, 2279
186, 6609
187, 6637
187, 4429
187, 2320
187, 5002
187, 6637
187, 3373
187, 2436
187, 6637
187, 2290
188, 6313
188, 6728
188, 5728
188, 5444
188, 6313
188, 6728
188, 3462
188, 6728
188, 6728
189, 4161
189, 6078
189, 3280
189, 3478
189, 2292
189, 5150
190, 3439
190, 5210
190, 3877
190, 3904
190, 4416
191, 3798
191, 5909
191, 80
191, 1754
191, 5253
192, 5846
192, 2404
192, 3555
192, 6609
192, 541
192, 3861
192, 3861
193, 5694
193, 5604
193, 2197
193, 1281
