docidx, xval, yval, zval
1, 38, -48, 49
1, -4, -70, 50
1, -34, -52, 60
1, -23, 15, 67
1, -23, -20, 68
1, 42, -47, -19
1, 25, -35, -8
1, -25, -45, -2
1, 52, -62, 14
1, 21, -81, 28
2, -28, 42, 20
2, 38, 24, 28
2, 2, 20, 28
2, -2, 14, 44
2, -18, -8, 60
2, 28, 4, 52
2, 40, -54, 44
2, -30, -16, 20
2, 30, 26, 12
2, -24, 22, 0
2, 16, 20, 8
2, 14, 0, 4
2, 14, 6, 4
2, -8, -26, 4
2, 8, -20, 12
2, -10, -2, 8
2, 4, -2, 12
2, 4, -62, -32
2, -26, -56, -32
2, -40, -48, -32
2, 54, -48, -32
2, -30, 22, 20
2, 18, 10, 28
2, -30, 40, 20
2, 34, 28, 28
2, -2, 16, 44
2, 18, 34, -4
2, -22, -6, 60
2, 24, 4, 56
2, 38, -50, 36
2, 30, 20, 12
2, -6, 18, 4
2, 10, 4, 12
2, -4, -22, 8
2, 6, -20, 12
2, 6, -4, 8
2, 2, -62, -32
2, -28, 44, 8
2, 32, 30, 28
2, -6, 4, 32
2, 10, 16, 36
2, -28, -14, 64
2, 18, -4, 60
2, -4, -4, 52
2, 4, -10, 64
2, -32, -26, 52
2, -34, -32, 48
2, 30, -58, 40
2, 28, 14, 12
2, 12, 10, 16
2, -22, 14, 4
2, 22, 12, 8
2, -16, -6, 0
2, 18, -2, 0
2, -8, -24, 0
2, 6, -24, 12
2, 14, -58, -32
2, 6, -60, -24
2, -28, -58, -32
2, 24, -56, -28
2, -20, -38, 28
2, -2, -16, 64
2, -14, -20, 56
2, -20, -32, 48
2, -22, -34, 44
2, -24, -10, 0
2, 2, -62, -20
2, 10, -52, -24
2, -32, -54, -28
2, 18, -54, -36
2, -8, -18, 44
2, 2, -2, 32
2, -8, -18, 60
2, -14, -20, 56
2, 24, -12, 52
2, -34, -32, 48
2, 44, -22, 40
2, -36, -30, 44
2, 18, -66, 48
2, 30, 4, 12
2, -24, -6, 4
2, -20, -4, 0
2, -30, -54, -36
2, 20, -54, -36
2, -28, -56, -32
2, 14, -48, -24
2, 10, -50, -20
3, -38, -22, 60
3, -38, -22, 60
3, -38, -25, 60
3, -38, -25, 50
3, -38, -25, 50
3, -37, -25, 50
3, -37, -31, 50
3, -37, -31, 66
3, -37, -31, 66
3, -27, -24, 64
3, -30, -24, 64
3, -30, -32, 64
3, -30, -32, 64
3, -30, -32, 64
3, -35, -32, 64
3, -35, -35, 64
3, -35, -35, 67
3, -35, -35, 67
3, -3, -37, 59
3, -6, -37, 59
3, -6, -40, 59
3, -6, -40, 52
3, -6, -40, 52
3, -5, -40, 52
3, -5, -36, 52
3, -5, -36, 56
3, -5, -36, 56
3, -39, -25, 61
3, -52, -25, 61
3, -52, -28, 61
3, -52, -28, 50
3, -52, -28, 50
3, -38, -28, 50
3, -38, -38, 50
3, -38, -38, 69
3, -38, -38, 69
3, -29, -29, 64
3, -36, -29, 64
3, -36, -39, 64
3, -36, -39, 58
3, -36, -39, 58
3, -32, -39, 58
3, -32, -42, 58
3, -32, -42, 60
3, -32, -42, 60
3, -8, -45, 55
3, -12, -45, 55
3, -12, -47, 55
3, -12, -47, 66
3, -12, -47, 66
3, -5, -47, 66
3, -5, -48, 66
3, -5, -48, 52
3, -5, -48, 52
3, -33, -45, 63
3, -40, -45, 63
3, -40, -53, 50
3, -40, -53, 50
3, -38, -53, 50
3, -38, -52, 50
3, -38, -52, 59
3, -38, -52, 59
3, -35, -50, 65
3, -34, -50, 65
3, -34, -58, 65
3, -34, -58, 47
3, -34, -58, 47
3, -23, -58, 47
3, -23, -54, 47
3, -23, -54, 61
3, -23, -54, 61
3, -4, -56, 70
3, -27, -56, 70
3, -27, -62, 52
3, -27, -62, 52
3, -18, -62, 52
3, -18, -58, 52
3, -18, -58, 62
3, -18, -58, 62
3, -35, -14, 59
3, -35, -14, 59
3, -28, -14, 59
3, -28, -1, 59
3, -28, -1, 68
3, -28, -1, 68
3, -33, -3, 60
3, -33, -3, 60
3, -33, -9, 60
3, -33, -9, 46
3, -33, -9, 46
3, -37, -9, 46
3, -37, -7, 46
3, -37, -7, 64
3, -37, -7, 64
3, -22, -12, 67
3, -38, -12, 67
3, -38, -8, 53
3, -38, -8, 53
3, -21, -8, 53
3, -21, -2, 53
3, -21, -2, 61
3, -21, -2, 61
3, -32, -4, 55
3, -44, -4, 55
3, -44, -20, 55
3, -44, -20, 38
3, -44, -20, 38
3, -25, -20, 38
3, -25, -7, 38
3, -25, -7, 59
3, -25, -7, 59
3, -26, -10, 68
3, -39, -13, 68
3, -39, -13, 53
3, -39, -13, 53
3, -38, -13, 53
3, -38, -12, 53
3, -32, -5, 56
3, -35, -5, 56
3, -35, -13, 56
3, -35, -13, 47
3, -35, -13, 47
3, -28, -13, 47
3, -28, -8, 47
3, -28, -8, 64
3, -28, -8, 64
3, -39, -2, 0
3, -34, -2, 0
3, -34, -8, 0
3, -34, -8, -3
3, -34, -8, -3
3, -43, -8, -3
3, -43, -12, -3
3, -43, -12, 10
3, -43, -12, 10
3, -41, -7, 4
3, -34, -7, 4
3, -34, -20, 4
3, -34, -20, -2
3, -34, -20, -2
3, -40, -1, -1
3, -34, -1, -1
3, -34, -16, -1
3, -34, -16, -2
3, -34, -16, -2
3, -57, -16, -2
3, -57, -3, -2
3, -57, -3, 7
3, -57, -3, 7
3, -46, 5, 7
3, -52, 5, 7
