wdidx, widx
1, 190
1, 228
1, 370
1, 370
1, 370
1, 1168
1, 1450
1, 2003
1, 2064
1, 2065
1, 2065
1, 2065
1, 2104
1, 2320
1, 2488
1, 3310
1, 3331
1, 3331
1, 3331
1, 3348
1, 3348
1, 3400
1, 3489
1, 3579
1, 3631
1, 3969
1, 4570
1, 4570
1, 4570
1, 4792
1, 4852
1, 4969
1, 4970
1, 5157
1, 5370
1, 5707
1, 5855
1, 5959
1, 6008
1, 6008
1, 6126
1, 6219
1, 6219
1, 6425
1, 6586
2, 489
2, 489
2, 489
2, 492
2, 492
2, 492
2, 492
2, 548
2, 548
2, 548
2, 548
2, 549
2, 812
2, 1810
2, 1810
2, 1930
2, 1930
2, 2104
2, 2404
2, 2496
2, 2578
2, 3118
2, 3383
2, 3383
2, 3383
2, 3383
2, 3385
2, 3385
2, 3385
2, 3385
2, 3813
2, 3876
2, 3877
2, 3878
2, 4200
2, 4200
2, 4261
2, 4278
2, 4296
2, 4296
2, 4371
2, 4606
2, 4656
2, 4675
2, 4958
2, 4958
2, 5114
2, 5506
2, 5506
2, 5506
2, 5506
2, 5506
2, 5506
2, 5506
2, 5506
2, 5508
2, 5592
2, 5737
2, 6166
3, 297
3, 297
3, 410
3, 410
3, 560
3, 567
3, 1158
3, 1340
3, 1340
3, 1784
3, 2160
3, 2412
3, 2436
3, 2682
3, 3202
3, 3391
3, 3391
3, 3391
3, 3391
3, 3391
3, 3488
3, 3536
3, 3536
3, 3861
3, 3861
3, 3861
3, 3861
3, 3861
3, 3861
3, 3861
3, 3861
3, 3861
3, 3875
3, 4054
3, 4491
3, 4672
3, 4697
3, 4720
3, 4811
3, 5154
3, 5693
3, 5693
3, 5693
3, 5693
3, 5694
3, 5870
3, 5930
3, 6159
4, 49
4, 66
4, 66
4, 66
4, 1112
4, 1953
4, 1953
4, 2073
4, 2436
4, 2680
4, 3487
4, 4197
4, 4642
4, 4997
4, 4997
4, 4997
4, 5175
4, 5482
4, 5693
4, 5846
4, 6088
4, 6088
4, 6088
4, 6176
4, 6176
4, 6176
4, 6674
5, 13
5, 574
5, 574
5, 574
5, 574
5, 691
5, 812
5, 1202
5, 1202
5, 1718
5, 1720
5, 1720
5, 2365
5, 2578
5, 2705
5, 2737
5, 2737
5, 2744
5, 3129
5, 3789
5, 3816
5, 3876
5, 3969
5, 4136
5, 4580
5, 4919
5, 4928
5, 5153
5, 5238
5, 5555
5, 5605
5, 5697
5, 6272
5, 6357
5, 6357
5, 6357
5, 6357
5, 6413
5, 6592
5, 6594
5, 6594
5, 6594
5, 6594
5, 6596
5, 6745
6, 5
6, 68
6, 68
6, 669
6, 669
6, 669
6, 669
6, 669
6, 669
6, 669
6, 891
6, 1220
6, 1238
6, 1322
6, 1322
6, 1322
6, 1332
6, 1607
6, 2256
6, 2404
6, 2404
6, 2404
6, 2404
6, 2436
6, 2695
6, 3335
6, 3750
6, 3750
6, 3750
6, 3750
6, 3861
6, 3877
6, 3877
6, 3877
6, 3877
6, 3877
6, 3877
6, 3877
6, 3877
6, 3877
6, 3877
