Peak_X,Peak_Y,Peak_Z,Topic_Assignment,Subregion_Assignment
38,-48,49,58,1
-4,-70,50,94,1
-34,-52,60,58,2
-23,15,67,13,2
-23,-20,68,27,2
42,-47,-19,23,2
25,-35,-8,10,1
-25,-45,-2,84,2
52,-62,14,86,1
21,-81,28,79,2
-28,42,20,9,2
38,24,28,39,2
2,20,28,9,2
-2,14,44,9,2
-18,-8,60,17,2
28,4,52,17,2
40,-54,44,1,1
-30,-16,20,51,1
30,26,12,9,1
-24,22,0,9,1
16,20,8,9,1
14,0,4,9,1
14,6,4,9,1
-8,-26,4,9,1
8,-20,12,9,1
-10,-2,8,9,1
4,-2,12,9,1
4,-62,-32,99,1
-26,-56,-32,99,1
-40,-48,-32,99,1
54,-48,-32,17,1
-30,22,20,15,1
18,10,28,9,2
-30,40,20,9,2
34,28,28,39,2
-2,16,44,9,2
18,34,-4,3,2
-22,-6,60,57,1
24,4,56,9,2
38,-50,36,1,1
30,20,12,9,1
-6,18,4,9,1
10,4,12,9,1
-4,-22,8,9,1
6,-20,12,9,1
6,-4,8,9,1
2,-62,-32,17,1
-28,44,8,9,2
32,30,28,13,2
-6,4,32,9,2
10,16,36,9,2
-28,-14,64,57,1
18,-4,60,17,2
-4,-4,52,9,2
4,-10,64,57,1
-32,-26,52,99,2
-34,-32,48,99,2
30,-58,40,1,1
28,14,12,9,1
12,10,16,9,1
-22,14,4,9,1
22,12,8,9,1
-16,-6,0,9,1
18,-2,0,9,1
-8,-24,0,17,1
6,-24,12,9,1
14,-58,-32,99,1
6,-60,-24,99,1
-28,-58,-32,99,1
24,-56,-28,99,1
-20,-38,28,13,2
-2,-16,64,57,1
-14,-20,56,57,1
-20,-32,48,99,2
-22,-34,44,57,1
-24,-10,0,9,1
2,-62,-20,99,1
10,-52,-24,61,1
-32,-54,-28,99,1
18,-54,-36,99,1
-8,-18,44,79,1
2,-2,32,13,2
-8,-18,60,17,2
-14,-20,56,79,1
24,-12,52,81,2
-34,-32,48,99,2
44,-22,40,1,2
-36,-30,44,99,2
18,-66,48,1,1
30,4,12,9,1
-24,-6,4,9,1
-20,-4,0,9,1
-30,-54,-36,99,1
20,-54,-36,99,1
-28,-56,-32,99,1
14,-48,-24,17,1
10,-50,-20,99,1
-38,-22,60,57,1
-38,-22,60,57,1
-38,-25,60,57,1
-38,-25,50,57,1
-38,-25,50,57,1
-37,-25,50,27,2
-37,-31,50,57,1
-37,-31,66,57,1
-37,-31,66,57,1
-27,-24,64,57,1
-30,-24,64,57,1
-30,-32,64,57,1
-30,-32,64,57,1
-30,-32,64,57,1
-35,-32,64,57,1
-35,-35,64,57,1
-35,-35,67,57,1
-35,-35,67,57,1
-3,-37,59,57,1
-6,-37,59,57,1
-6,-40,59,57,1
-6,-40,52,57,1
-6,-40,52,57,1
-5,-40,52,42,2
-5,-36,52,57,1
-5,-36,56,57,1
-5,-36,56,57,1
-39,-25,61,57,1
-52,-25,61,57,1
-52,-28,61,57,1
-52,-28,50,57,1
-52,-28,50,27,2
-38,-28,50,57,1
-38,-38,50,57,1
-38,-38,69,57,1
-38,-38,69,57,1
-29,-29,64,57,1
-36,-29,64,57,1
-36,-39,64,57,1
-36,-39,58,57,1
-36,-39,58,57,1
-32,-39,58,57,1
-32,-42,58,57,1
-32,-42,60,57,1
-32,-42,60,27,2
-8,-45,55,42,2
-12,-45,55,57,1
-12,-47,55,57,1
-12,-47,66,79,2
-12,-47,66,57,1
-5,-47,66,57,1
-5,-48,66,57,1
-5,-48,52,57,1
-5,-48,52,57,1
-33,-45,63,57,1
-40,-45,63,57,1
-40,-53,50,57,1
-40,-53,50,57,1
-38,-53,50,42,2
-38,-52,50,88,2
-38,-52,59,57,1
-38,-52,59,57,1
-35,-50,65,57,1
-34,-50,65,57,1
-34,-58,65,57,1
-34,-58,47,42,2
-34,-58,47,79,2
-23,-58,47,57,1
-23,-54,47,81,1
-23,-54,61,57,1
-23,-54,61,57,1
-4,-56,70,42,2
-27,-56,70,57,1
-27,-62,52,57,1
-27,-62,52,57,1
-18,-62,52,42,2
-18,-58,52,42,2
-18,-58,62,57,1
-18,-58,62,57,1
-35,-14,59,57,1
-35,-14,59,57,1
-28,-14,59,27,2
-28,-1,59,57,1
-28,-1,68,57,1
-28,-1,68,57,1
-33,-3,60,57,1
-33,-3,60,57,1
-33,-9,60,57,1
-33,-9,46,57,1
-33,-9,46,57,1
-37,-9,46,57,1
-37,-7,46,57,1
-37,-7,64,57,1
-37,-7,64,57,1
-22,-12,67,42,1
-38,-12,67,57,1
-38,-8,53,57,1
-38,-8,53,57,1
-21,-8,53,57,1
-21,-2,53,57,1
-21,-2,61,57,1
-21,-2,61,57,1
-32,-4,55,57,1
-44,-4,55,57,1
-44,-20,55,57,1
-44,-20,38,88,2
-44,-20,38,88,2
-25,-20,38,57,1
-25,-7,38,42,2
-25,-7,59,57,1
-25,-7,59,57,1
-26,-10,68,27,2
-39,-13,68,57,1
-39,-13,53,57,1
-39,-13,53,27,2
-38,-13,53,57,1
-38,-12,53,57,1
-32,-5,56,57,1
-35,-5,56,57,1
-35,-13,56,57,1
-35,-13,47,57,1
-35,-13,47,57,1
-28,-13,47,57,1
-28,-8,47,57,1
-28,-8,64,57,1
-28,-8,64,57,1
-39,-2,0,57,2
-34,-2,0,26,2
-34,-8,0,57,2
-34,-8,-3,57,2
-34,-8,-3,57,2
-43,-8,-3,57,2
-43,-12,-3,57,2
-43,-12,10,57,2
-43,-12,10,57,2
-41,-7,4,42,2
-34,-7,4,57,2
-34,-20,4,57,2
-34,-20,-2,57,2
-34,-20,-2,57,2
-40,-1,-1,57,2
-34,-1,-1,57,2
-34,-16,-1,57,2
-34,-16,-2,42,2
-34,-16,-2,57,2
-57,-16,-2,88,2
-57,-3,-2,88,2
-57,-3,7,88,2
-57,-3,7,57,2
-46,5,7,57,2
-52,5,7,57,2
-52,3,7,57,2
-52,3,-4,28,2
-52,3,-4,57,2
-61,3,-4,57,2
-61,4,-4,57,2
-61,4,13,88,2
-61,4,13,57,2
-44,3,12,57,2
-55,3,12,57,2
-55,1,12,57,2
-55,1,-2,57,2
-55,1,-2,88,2
-47,1,-2,57,2
-47,6,-2,57,2
-47,6,3,57,2
-47,6,3,57,2
-43,5,11,57,2
-52,5,11,88,2
-52,-3,11,88,2
-52,-3,-2,57,2
-52,-3,-2,57,2
-51,-3,-2,57,2
-51,4,-2,57,2
-51,4,3,57,2
-51,4,3,57,2
-50,-17,20,88,2
-63,-17,20,88,2
-63,-26,20,88,2
-63,-26,9,88,2
-63,-26,9,88,2
-67,-26,9,88,2
-67,-20,9,88,2
-67,-20,10,57,2
-67,-20,10,88,2
-43,-25,21,88,2
-44,-28,20,88,2
-57,-28,20,88,2
-57,-34,20,88,2
-57,-34,18,88,2
-57,-34,18,88,2
-39,-34,18,42,2
-39,-12,18,88,2
-39,-12,9,57,2
-39,-12,9,88,2
-49,-32,32,88,2
-59,-32,32,88,2
-59,-30,32,88,2
-59,-30,25,88,2
-59,-30,25,88,2
-62,-30,25,88,2
-62,-42,25,88,2
-62,-42,37,88,2
-62,-42,37,42,2
-48,-32,30,88,2
-61,-32,30,42,2
-61,-25,30,88,2
-61,-25,33,88,2
-61,-25,33,88,2
-44,-25,33,88,2
-44,-38,33,88,2
-44,-38,36,42,2
-44,-38,36,42,2
-49,-33,30,88,2
-47,-33,30,88,2
-47,-29,30,88,2
-47,-29,31,88,2
-47,-29,31,88,2
-63,-29,31,88,2
-63,-41,31,88,2
-63,-41,38,42,2
-63,-41,38,88,2
-5,-16,67,57,1
-2,-16,67,57,1
-2,-12,67,57,1
-2,-12,67,57,1
-2,-12,67,57,1
-1,-12,67,57,1
-1,-26,67,57,1
-1,-26,73,57,1
-1,-26,73,57,1
-3,-17,66,57,1
-7,-17,66,57,1
-7,-14,66,57,1
-7,-14,60,14,1
-7,-14,60,57,1
-11,-20,62,57,1
-15,-20,62,57,1
-15,-15,62,57,1
-15,-15,66,57,1
-15,-15,66,57,1
-5,-15,66,57,1
-5,-29,66,57,1
-5,-29,67,57,1
-5,-29,67,57,1
-6,6,57,57,1
-5,6,57,57,1
-5,14,57,57,1
-5,14,52,57,1
-5,14,52,57,1
-7,14,52,42,1
-7,4,52,42,1
-7,4,51,88,1
-7,4,51,42,1
-7,8,50,57,1
0,8,50,57,1
0,1,50,88,1
0,1,47,88,1
0,1,47,57,1
-1,1,47,57,1
-1,7,47,57,1
-1,7,51,42,1
-1,7,51,57,1
-8,11,40,42,1
-2,9,49,57,1
-2,9,49,57,1
-3,-11,50,57,1
-3,-11,50,57,1
-5,-11,50,42,1
-5,-14,50,57,1
-5,-14,50,57,1
-5,-14,50,57,1
-3,-29,57,57,1
-3,-29,57,57,1
-3,-30,57,57,1
-3,-30,51,57,1
-3,-30,51,57,1
-12,-30,51,57,1
-12,-21,51,57,1
-12,-21,60,57,1
-12,-21,60,57,1
-7,-16,51,57,1
-11,-16,51,57,1
-11,-10,51,57,1
-11,-10,50,57,1
-11,-10,50,57,1
-6,-21,49,57,1
-10,-21,49,57,1
-10,-23,49,57,1
-10,-23,52,57,1
-10,-23,52,57,1
-5,-23,52,57,1
-5,-21,52,57,1
-5,-21,56,57,1
-5,-21,56,57,1
-6,-3,42,42,1
-14,-3,42,57,1
-14,-8,42,42,1
-14,-8,47,57,1
-14,-8,47,79,1
-3,-8,47,57,1
-3,-10,47,42,1
-3,-10,50,42,1
-3,-10,50,42,1
-6,-21,51,57,1
-6,-21,51,57,1
-6,-14,51,57,1
-6,-14,54,57,1
-6,-14,54,57,1
-6,-14,54,57,1
-6,-23,54,57,1
-6,-23,46,57,1
-6,-23,46,57,1
-4,-31,46,42,2
